0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:15 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:15 -0500] "GET /WebCrudJDBC/login HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:15 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:15 -0500] "GET /WebCrudJDBC/login HTTP/1.1" 404 773
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:15 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:18 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 200 601
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:18 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:22 -0500] "POST /login_servlet HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:22 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:28 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
127.0.0.1 - admin [08/Jul/2025:18:56:42 -0500] "PUT /manager/text/deploy?path=%2FWebCrudJDBC&update=true HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:47 -0500] "POST /login_servlet HTTP/1.1" 404 765
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:47 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:49 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:52 -0500] "POST /WebCrudJDBC/login.jsp HTTP/1.1" 500 2314
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:56:52 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:57:01 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:57:07 -0500] "POST /WebCrudJDBC/login.jsp HTTP/1.1" 500 1337
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:57:07 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
127.0.0.1 - admin [08/Jul/2025:18:58:54 -0500] "PUT /manager/text/deploy?path=%2FWebCrudJDBC&update=true HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:56 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:56 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:56 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:57 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:57 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:59 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:58:59 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:01 -0500] "POST /WebCrudJDBC/login.jsp HTTP/1.1" 500 2314
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:01 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:37 -0500] "POST /WebCrudJDBC/login.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:37 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:40 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:40 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:41 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:41 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:45 -0500] "POST /WebCrudJDBC/login.jsp HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:45 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:48 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 200 609
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:48 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:48 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:49 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:50 -0500] "GET /WebCrudJDBC/login.jsp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Jul/2025:18:59:50 -0500] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
